"Date (UTC)","Timestamp (UTC)","November 8-11","November 12-15","November 16+","Before October 15","October 15-18","October 19-22","October 23-26","October 27-30","October 31-November 3","November 4-7"
"10-07-2025 00:00","1759795202","0.055","0.055","0.12","0.27","0.2","0.07","0.06","0.075","0.085","0.065"
"10-08-2025 00:00","1759881602","0.045","0.045","0.0395","0.275","0.19","0.085","0.08","0.115","0.105","0.065"
"10-09-2025 00:00","1759968003","0.065","0.065","0.0795","0.185","0.21","0.09","0.07","0.095","0.1","0.075"
"10-10-2025 00:00","1760054403","0.06","0.06","0.099","0.075","0.245","0.095","0.075","0.09","0.105","0.075"
"10-11-2025 00:00","1760140803","0.06","0.06","0.0885","0.085","0.165","0.115","0.09","0.095","0.115","0.07"
"10-12-2025 00:00","1760227206","0.155","0.06","0.161","0.039","0.145","0.105","0.09","0.095","0.12","0.07"
"10-13-2025 00:00","1760313605","0.13","0.06","0.208","0.034","0.055","0.1","0.095","0.105","0.125","0.085"
"10-14-2025 00:00","1760400003","0.055","0.07","0.2935","0.0025","0.0405","0.085","0.08","0.1","0.135","0.125"
"10-15-2025 00:00","1760486404","0.07","0.075","0.185","0.0005","0.0375","0.09","0.105","0.115","0.17","0.13"
"10-16-2025 00:00","1760572803","0.05","0.075","0.3075","","0.0115","0.045","0.08","0.1","0.2","0.115"
"10-17-2025 00:00","1760659203","0.06","0.075","0.314","","0.006","0.029","0.08","0.11","0.205","0.12"
"10-18-2025 00:00","1760745604","0.06","0.085","0.409","","0.0025","0.036","0.07","0.075","0.135","0.15"
"10-19-2025 00:00","1760832003","0.085","0.09","0.423","","0.0005","0.019","0.06","0.065","0.15","0.15"
"10-20-2025 00:00","1760918405","0.1","0.1","0.447","","","0.0135","0.055","0.08","0.085","0.135"
"10-21-2025 00:00","1761004803","0.065","0.065","0.251","","","0.0155","0.135","0.15","0.2","0.083"
"10-22-2025 00:00","1761091203","0.07","0.125","0.394","","","0.0045","0.075","0.075","0.11","0.1375"
"10-23-2025 00:00","1761177605","0.08","0.135","0.3835","","","0.0005","0.0265","0.115","0.135","0.137"
"10-24-2025 00:00","1761264004","0.08","0.14","0.4355","","","","0.014","0.06","0.135","0.1505"
"10-25-2025 00:00","1761350406","0.075","0.135","0.4465","","","","0.003","0.045","0.125","0.142"
"10-26-2025 00:00","1761436804","0.075","0.135","0.482","","","","0.0015","0.0655","0.085","0.1655"
"10-27-2025 00:00","1761523204","0.075","0.125","0.5065","","","","0.0005","0.0465","0.095","0.147"
"10-28-2025 00:00","1761609604","0.09","0.085","0.4585","","","","","0.0175","0.125","0.188"
"10-29-2025 00:00","1761696004","0.125","0.105","0.452","","","","","0.0175","0.07","0.221"
"10-30-2025 00:00","1761782406","0.14","0.095","0.4435","","","","","0.0005","0.1","0.2435"
"10-31-2025 00:00","1761868805","0.15","0.155","0.3765","","","","","0.0005","0.0315","0.2845"
"11-01-2025 00:00","1761955206","0.17","0.17","0.431","","","","","","0.0165","0.2115"
"11-02-2025 00:00","1762041605","0.18","0.185","0.4685","","","","","","0.009","0.155"
"11-03-2025 00:00","1762128004","0.17","0.185","0.477","","","","","","0.005","0.163"
"11-04-2025 00:00","1762214405","0.185","0.17","0.47","","","","","","0.0005","0.134"
"11-05-2025 00:00","1762300805","0.32","0.175","0.297","","","","","","","0.1705"
"11-06-2025 00:00","1762387204","0.17","0.33","0.4345","","","","","","","0.0205"
"11-07-2025 00:00","1762473605","0.26","0.295","0.4","","","","","","","0.023"
"11-08-2025 00:00","1762560005","0.17","0.325","0.496","","","","","","","0.0005"
"11-09-2025 00:00","1762646418","0.075","0.295","0.626","","","","","","",""
